EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-12-21,27,26,24,21,19,16,88,81,74,30.08,30.05,30.01,10,10,9,15,6,18,T,8,,341
2010-12-22,28,26,24,25,23,20,88,83,78,30.00,29.94,29.89,10,8,2,16,8,21,T,8,Snow,315
2010-12-23,27,27,26,23,20,18,84,76,68,30.15,30.05,29.96,10,8,4,18,11,25,0.01,8,Snow,321
2010-12-24,26,25,24,22,20,18,88,78,68,30.23,30.18,30.14,10,9,5,15,7,18,T,8,Snow,310
2010-12-25,24,21,17,20,15,10,84,79,73,30.11,30.07,30.03,10,10,10,13,6,15,0.00,8,,340
2010-12-26,21,18,14,10,9,6,80,71,62,30.05,29.96,29.75,10,10,9,21,10,24,T,7,Snow,360
2010-12-27,23,17,11,13,9,3,80,69,57,29.88,29.76,29.69,10,9,5,26,16,32,T,7,Snow,345
2010-12-28,30,25,20,25,21,11,92,76,59,29.94,29.87,29.81,10,9,5,24,13,31,0.02,8,Snow,289
2010-12-29,31,27,22,26,23,19,85,79,72,30.14,30.04,29.93,10,8,4,20,11,25,T,8,Snow,272
2010-12-30,40,27,13,26,21,12,96,73,50,30.19,30.12,30.05,10,9,4,9,4,10,0.00,5,,122
2010-12-31,49,40,30,36,32,26,82,70,58,30.07,30.03,30.00,10,10,8,10,4,12,T,7,Rain,122
2011-1-1,53,45,37,44,40,36,86,76,66,30.01,29.91,29.82,10,10,8,14,7,17,0.03,8,Rain,160
2011-1-2,45,35,25,36,25,13,96,73,49,30.09,30.02,29.89,10,9,6,25,11,31,0.05,8,Rain-Snow,308
2011-1-3,31,27,23,17,14,11,68,56,43,30.17,30.11,30.02,10,10,9,22,12,26,T,6,Snow,270
2011-1-4,36,32,28,28,24,16,92,73,53,30.01,29.84,29.76,10,6,1,18,9,22,0.03,8,Snow,248
2011-1-5,31,26,21,29,22,13,100,75,50,29.89,29.82,29.75,10,6,1,17,9,21,0.13,7,Snow,300
2011-1-6,26,21,16,18,15,12,91,74,57,29.77,29.67,29.43,10,7,2,13,5,15,0.01,8,Snow,217
2011-1-7,26,20,13,25,18,8,84,67,50,29.46,29.39,29.34,10,5,0,18,5,21,0.04,8,Fog-Snow,231
2011-1-8,27,19,11,19,14,8,92,77,62,29.66,29.51,29.42,10,8,2,12,3,13,0.01,7,Snow,337
2011-1-9,26,24,22,22,18,15,92,83,74,30.17,29.96,29.68,10,4,1,23,13,29,0.07,8,Snow,307
2011-1-10,24,20,16,21,16,10,92,77,62,30.34,30.29,30.17,10,5,1,20,8,24,0.01,7,Snow,320
2011-1-11,21,18,15,18,15,11,92,80,68,30.33,30.09,29.84,10,6,0,10,5,14,0.23,8,Fog-Snow,99
2011-1-12,21,19,17,18,16,14,91,84,77,30.05,29.82,29.70,9,2,0,18,9,24,2.13,8,Fog-Snow,356
2011-1-13,20,17,14,16,13,9,92,80,67,30.34,30.24,30.05,10,4,2,18,10,24,0.02,8,Snow,306
2011-1-14,26,20,13,16,12,10,88,80,71,30.35,30.31,30.25,10,8,2,8,2,9,T,7,Snow,239
2011-1-15,31,19,7,27,19,4,88,81,74,30.24,29.88,29.73,10,5,0,25,12,31,0.06,8,Fog-Snow,205
2011-1-16,26,18,9,22,16,1,96,79,61,30.31,30.04,29.87,10,3,0,24,13,31,0.24,7,Fog-Snow,308
2011-1-17,16,6,-4,4,-1,-6,87,69,51,30.40,30.28,30.09,10,10,5,14,8,20,T,6,Snow,93
2011-1-18,31,24,16,30,20,6,100,80,59,30.07,29.87,29.68,10,8,2,15,7,17,0.05,8,Rain-Snow,100
2011-1-19,31,26,20,30,22,16,100,91,81,29.99,29.80,29.66,9,4,2,14,7,16,0.06,8,Snow,317
2011-1-20,25,21,16,19,14,10,91,73,55,30.07,29.93,29.72,10,6,1,22,10,26,0.05,8,Snow,265
2011-1-21,23,18,12,18,14,4,92,77,62,29.88,29.66,29.60,9,3,0,31,14,37,0.13,8,Fog-Snow,282
2011-1-22,19,14,9,9,6,2,83,66,49,29.96,29.89,29.82,10,5,1,21,8,26,0.02,7,Snow,268
2011-1-23,14,5,-5,9,-1,-9,86,75,63,30.40,30.08,29.81,10,7,2,18,7,22,T,6,Snow,326
2011-1-24,10,-1,-13,4,-8,-21,92,74,55,30.50,30.36,30.17,10,8,1,13,6,15,0.07,6,Snow,107
2011-1-25,31,20,8,27,15,5,92,84,75,30.14,30.09,30.05,10,5,1,9,3,12,0.07,8,Snow,115
2011-1-26,35,30,25,26,24,23,92,78,64,30.06,29.92,29.75,10,7,2,10,3,13,T,8,Snow,50
2011-1-27,30,26,22,27,25,21,96,90,84,29.83,29.80,29.75,10,5,0,13,7,16,0.02,8,Fog-Snow,294
2011-1-28,32,27,21,27,24,20,96,86,75,29.83,29.78,29.74,10,4,2,17,3,21,0.02,8,Fog-Snow,220
2011-1-29,30,27,24,21,19,13,81,66,50,30.00,29.90,29.83,10,9,5,15,6,17,T,8,Snow,283
2011-1-30,27,23,19,21,18,14,92,83,74,30.33,30.13,29.99,10,5,1,21,7,30,0.01,7,Snow,311
2011-1-31,19,10,0,14,-3,-14,77,53,28,30.59,30.49,30.34,10,9,2,15,3,18,T,6,Snow,5
2011-2-1,20,15,9,16,11,-4,92,72,52,30.40,30.28,30.16,10,6,0,12,6,15,0.28,8,Fog-Snow,93
2011-2-2,32,24,16,27,19,13,92,87,81,30.12,29.82,29.58,10,5,0,28,11,33,2.10,8,Fog-Rain-Snow,25
2011-2-3,26,17,7,16,12,4,88,72,55,30.37,30.28,30.08,10,7,2,16,8,17,T,5,Snow,291
2011-2-4,30,19,8,10,5,2,73,54,35,30.25,30.11,29.97,10,10,10,20,8,26,0.00,3,,239
2011-2-5,32,18,4,30,21,0,100,77,53,29.96,29.58,29.31,10,5,0,16,5,18,0.66,7,Fog-Rain-Snow,90
2011-2-6,33,31,28,29,26,24,92,84,75,30.01,29.86,29.57,10,8,2,14,6,14,0.04,8,Snow,281
2011-2-7,36,33,30,32,30,26,100,89,78,29.99,29.85,29.66,9,4,0,8,3,8,0.18,8,Snow,136
2011-2-8,32,22,12,31,13,6,92,83,73,30.13,29.86,29.62,9,2,0,29,16,40,0.14,8,Fog-Snow,300
2011-2-9,28,14,0,6,2,-3,87,62,36,30.15,30.04,29.95,10,10,9,24,11,30,0.00,5,,261
2011-2-10,18,10,2,7,1,-3,79,63,47,30.09,30.03,29.96,10,10,9,22,12,25,0.00,3,,276
2011-2-11,24,8,-9,6,0,-10,91,68,45,30.10,30.04,29.89,10,10,10,17,4,25,0.00,4,,188
2011-2-12,31,21,10,27,19,7,92,69,46,30.05,29.83,29.72,10,5,0,25,14,36,0.08,8,Fog-Snow,280
2011-2-13,44,31,18,30,21,9,84,69,53,30.03,29.81,29.57,10,8,1,22,10,30,0.01,7,Rain-Snow,219
2011-2-14,48,36,23,36,30,19,100,73,45,30.08,29.62,29.31,10,6,1,32,17,45,0.15,7,Rain-Snow,304
2011-2-15,23,16,9,18,10,5,92,80,67,30.48,30.39,30.13,10,10,9,22,8,29,T,3,Snow,351
2011-2-16,41,27,12,30,19,7,80,67,54,30.32,30.14,30.06,10,10,10,15,5,18,T,7,,137
2011-2-17,51,38,25,39,31,22,88,72,56,30.09,29.99,29.81,10,10,9,14,3,17,0.01,6,Rain,129
2011-2-18,55,47,38,44,31,19,80,56,31,29.76,29.66,29.63,10,10,10,43,19,55,T,6,Rain,260
2011-2-19,39,28,16,27,18,6,92,74,56,30.24,29.85,29.65,10,2,0,38,20,47,0.08,8,Snow,323
2011-2-20,27,20,13,18,10,4,74,65,55,30.37,30.22,29.97,10,9,2,21,6,26,0.01,7,Snow,7
2011-2-21,22,17,11,18,9,-7,91,67,42,30.11,29.97,29.89,10,7,2,17,9,22,0.04,8,Snow,17
2011-2-22,20,13,6,6,0,-8,76,61,46,30.37,30.26,30.10,10,10,10,13,7,16,0.00,2,,330
2011-2-23,33,18,2,5,1,-3,87,55,23,30.43,30.35,30.24,10,10,9,6,1,7,0.00,0,,132
2011-2-24,37,25,12,30,19,1,82,66,50,30.22,30.04,29.91,10,9,2,13,4,15,T,7,Snow,123
2011-2-25,33,28,22,31,27,17,100,89,78,30.06,29.72,29.48,10,3,0,24,11,30,0.44,8,Fog-Rain-Snow,5
2011-2-26,30,25,19,25,19,12,92,80,68,30.17,30.07,29.90,10,6,1,22,8,25,0.07,8,Snow,246
2011-2-27,39,33,26,28,26,23,100,77,54,30.00,29.92,29.84,10,7,2,14,6,18,0.08,7,Snow,201
2011-2-28,46,39,31,39,31,22,100,81,62,30.03,29.70,29.39,10,9,2,36,14,46,0.38,8,Rain-Snow,286
2011-3-1,36,28,20,21,12,3,72,52,32,30.35,30.21,30.02,10,10,9,20,8,28,T,5,Snow,322
2011-3-2,38,27,16,28,17,-1,70,55,40,30.51,30.13,29.92,10,7,1,35,18,45,T,7,Snow,308
2011-3-3,25,15,5,2,-3,-7,69,50,30,30.73,30.65,30.54,10,10,10,12,3,14,0.00,5,,112
2011-3-4,41,30,18,24,13,2,52,45,37,30.59,30.43,30.30,10,10,10,22,11,29,T,7,Rain,159
2011-3-5,53,46,39,43,37,27,76,64,51,30.30,30.07,29.87,10,10,7,28,14,36,0.12,8,Rain,193
2011-3-6,53,38,22,46,30,19,96,81,66,30.10,29.98,29.78,10,4,0,26,14,37,0.91,8,Fog-Rain-Snow,331
2011-3-7,30,22,14,19,16,12,92,75,58,30.40,30.17,29.96,10,7,0,18,11,28,0.44,5,Fog-Snow,335
2011-3-8,39,25,11,18,13,10,96,66,35,30.58,30.52,30.41,10,10,9,12,5,15,0.00,4,Fog,118
2011-3-9,41,32,23,29,19,9,63,51,38,30.53,30.37,30.17,10,10,10,26,14,38,T,8,Rain-Snow,127
2011-3-10,42,38,34,40,36,30,100,88,76,30.17,29.96,29.64,10,10,7,26,15,32,0.41,8,Rain,106
2011-3-11,43,39,34,43,34,26,100,77,53,29.78,29.67,29.55,10,10,7,25,12,33,0.07,8,Rain-Snow,192
2011-3-12,44,39,33,35,31,28,92,75,57,29.78,29.75,29.70,10,7,2,29,10,35,0.02,8,Rain-Snow,266
2011-3-13,40,36,31,36,30,28,100,88,75,30.26,30.04,29.79,10,8,2,24,13,30,0.02,8,Rain-Snow,303
